Data 4
4.2.4.1. keempat.dua.empat.satu
4.3.4.1. keempat.tiga.empat.satu
4.4.4.1. keempat.empat.empat.satu



1.1.1.2. pertama.satu.satu.dua
1.2.1.2. pertama.dua.satu.dua
1.3.1.2. pertama.tiga.satu.dua
1.4.1.2. pertama.empat.satu.dua
2.1.1.2. kedua.satu.satu.dua
2.2.1.2. kedua.dua.satu.dua
2.3.1.2. kedua.tiga.satu.dua
2.4.1.2. kedua.empat.satu.dua
3.1.1.2. ketiga.satu.satu.dua
3.2.1.2. ketiga.dua.satu.dua
3.3.1.2. ketiga.tiga.satu.dua
3.4.1.2. ketiga.empat.satu.dua
4.1.1.2. keempat.satu.satu.dua
4.2.1.2. keempat.dua.satu.dua
4.3.1.2. keempat.tiga.satu.dua
4.4.1.2. keempat.empat.satu.dua

1.1.2.2. pertama.satu.dua.dua
1.2.2.2. pertama.dua.dua.dua
1.3.2.2. pertama.tiga.dua.dua
1.4.2.2. pertama.empat.dua.dua
2.1.2.2. kedua.satu.dua.dua
2.2.2.2. kedua.dua.dua.dua
2.3.2.2. kedua.tiga.dua.dua
2.4.2.2. kedua.empat.dua.dua
3.1.2.2. ketiga.satu.dua.dua
3.2.2.2. ketiga.dua.dua.dua
3.3.2.2. ketiga.tiga.dua.dua
3.4.2.2. ketiga.empat.dua.dua
4.1.2.2. keempat.satu.dua.dua
4.2.2.2. keempat.dua.dua.dua
4.3.2.2. keempat.tiga.dua.dua
4.4.2.2. keempat.empat.dua.dua

1.1.3.2. pertama.satu.tiga.dua
1.2.3.2. pertama.dua.tiga.dua
1.3.3.2. pertama.tiga.tiga.dua
1.4.3.2. pertama.empat.tiga.dua
2.1.3.2. kedua.satu.tiga.dua
2.2.3.2. kedua.dua.tiga.dua
2.3.3.2. kedua.tiga.tiga.dua
2.4.3.2. kedua.empat.tiga.dua
3.1.3.2. ketiga.satu.tiga.dua
3.2.3.2. ketiga.dua.tiga.dua
3.3.3.2. ketiga.tiga.tiga.dua
3.4.3.2. ketiga.empat.tiga.dua
4.1.3.2. keempat.satu.tiga.dua
4.2.3.2. keempat.dua.tiga.dua
4.3.3.2. keempat.tiga.tiga.dua
4.4.3.2. keempat.empat.tiga.dua

1.1.4.2. pertama.satu.empat.dua
1.2.4.2. pertama.dua.empat.dua
1.3.4.2. pertama.tiga.empat.dua
1.4.4.2. pertama.empat.empat.dua
2.1.4.2. kedua.satu.empat.dua
2.2.4.2. kedua.dua.empat.dua
2.3.4.2. kedua.tiga.empat.dua
2.4.4.2. kedua.empat.empat.dua
3.1.4.2. ketiga.satu.empat.dua
3.2.4.2. ketiga.dua.empat.dua
3.3.4.2. ketiga.tiga.empat.dua
3.4.4.2. ketiga.empat.empat.dua
4.1.4.2. keempat.satu.empat.dua
4.2.4.2. keempat.dua.empat.dua
4.3.4.2. keempat.tiga.empat.dua
4.4.4.2. keempat.empat.empat.dua



1.1.1.3. pertama.satu.satu.tiga
1.2.1.3. pertama.dua.satu.tiga
1.3.1.3. pertama.tiga.satu.tiga
1.4.1.3. pertama.empat.satu.tiga
2.1.1.3. kedua.satu.satu.tiga
2.2.1.3. kedua.dua.satu.tiga
2.3.1.3. kedua.tiga.satu.tiga
2.4.1.3. kedua.empat.satu.tiga
3.1.1.3. ketiga.satu.satu.tiga
3.2.1.3. ketiga.dua.satu.tiga
3.3.1.3. ketiga.tiga.satu.tiga
3.4.1.3. ketiga.empat.satu.tiga
4.1.1.3. keempat.satu.satu.tiga
4.2.1.3. keempat.dua.satu.tiga
4.3.1.3. keempat.tiga.satu.tiga
4.4.1.3. keempat.empat.satu.tiga

1.1.2.3. pertama.satu.dua.tiga
1.2.2.3. pertama.dua.dua.tiga
1.3.2.3. pertama.tiga.dua.tiga
1.4.2.3. pertama.empat.dua.tiga
2.1.2.3. kedua.satu.dua.tiga
2.2.2.3. kedua.dua.dua.tiga
2.3.2.3. kedua.tiga.dua.tiga
2.4.2.3. kedua.empat.dua.tiga
3.1.2.3. ketiga.satu.dua.tiga
3.2.2.3. ketiga.dua.dua.tiga
3.3.2.3. ketiga.tiga.dua.tiga
3.4.2.3. ketiga.empat.dua.tiga
4.1.2.3. keempat.satu.dua.tiga
4.2.2.3. keempat.dua.dua.tiga
4.3.2.3. keempat.tiga.dua.tiga
4.4.2.3. keempat.empat.dua.tiga

1.1.3.3. pertama.satu.tiga.tiga
1.2.3.3. pertama.dua.tiga.tiga
1.3.3.3. pertama.tiga.tiga.tiga
1.4.3.3. pertama.empat.tiga.tiga
2.1.3.3. kedua.satu.tiga.tiga
2.2.3.3. kedua.dua.tiga.tiga
2.3.3.3. kedua.tiga.tiga.tiga
2.4.3.3. kedua.empat.tiga.tiga
3.1.3.3. ketiga.satu.tiga.tiga
3.2.3.3. ketiga.dua.tiga.tiga
3.3.3.3. ketiga.tiga.tiga.tiga
3.4.3.3. ketiga.empat.tiga.tiga
4.1.3.3. keempat.satu.tiga.tiga
4.2.3.3. keempat.dua.tiga.tiga
4.3.3.3. keempat.tiga.tiga.tiga
4.4.3.3. keempat.empat.tiga.tiga

1.1.4.3. pertama.satu.empat.tiga
1.2.4.3. pertama.dua.empat.tiga
1.3.4.3. pertama.tiga.empat.tiga
1.4.4.3. pertama.empat.empat.tiga
2.1.4.3. kedua.satu.empat.tiga
2.2.4.3. kedua.dua.empat.tiga
2.3.4.3. kedua.tiga.empat.tiga
2.4.4.3. kedua.empat.empat.tiga
3.1.4.3. ketiga.satu.empat.tiga
3.2.4.3. ketiga.dua.empat.tiga
3.3.4.3. ketiga.tiga.empat.tiga
3.4.4.3. ketiga.empat.empat.tiga
4.1.4.3. keempat.satu.empat.tiga
4.2.4.3. keempat.dua.empat.tiga
4.3.4.3. keempat.tiga.empat.tiga
4.4.4.3. keempat.empat.empat.tiga



1.1.1.4. pertama.satu.satu.empat
1.2.1.4. pertama.dua.satu.empat
1.3.1.4. pertama.tiga.satu.empat
1.4.1.4. pertama.empat.satu.empat
2.1.1.4. kedua.satu.satu.empat
2.2.1.4. kedua.dua.satu.empat
2.3.1.4. kedua.tiga.satu.empat
2.4.1.4. kedua.empat.satu.empat
3.1.1.4. ketiga.satu.satu.empat
3.2.1.4. ketiga.dua.satu.empat
3.3.1.4. ketiga.tiga.satu.empat
3.4.1.4. ketiga.empat.satu.empat
4.1.1.4. keempat.satu.satu.empat
4.2.1.4. keempat.dua.satu.empat
4.3.1.4. keempat.tiga.satu.empat
4.4.1.4. keempat.empat.satu.empat

1.1.2.4. pertama.satu.dua.empat
1.2.2.4. pertama.dua.dua.empat
1.3.2.4. pertama.tiga.dua.empat
1.4.2.4. pertama.empat.dua.empat
2.1.2.4. kedua.satu.dua.empat
2.2.2.4. kedua.dua.dua.empat
2.3.2.4. kedua.tiga.dua.empat
2.4.2.4. kedua.empat.dua.empat
3.1.2.4. ketiga.satu.dua.empat
3.2.2.4. ketiga.dua.dua.empat
3.3.2.4. ketiga.tiga.dua.empat
3.4.2.4. ketiga.empat.dua.empat
4.1.2.4. keempat.satu.dua.empat
4.2.2.4. keempat.dua.dua.empat
4.3.2.4. keempat.tiga.dua.empat
4.4.2.4. keempat.empat.dua.empat

1.1.3.4. pertama.satu.tiga.empat
1.2.3.4. pertama.dua.tiga.empat
1.3.3.4. pertama.tiga.tiga.empat
1.4.3.4. pertama.empat.tiga.empat
2.1.3.4. kedua.satu.tiga.empat
2.2.3.4. kedua.dua.tiga.empat
2.3.3.4. kedua.tiga.tiga.empat
2.4.3.4. kedua.empat.tiga.empat
3.1.3.4. ketiga.satu.tiga.empat
3.2.3.4. ketiga.dua.tiga.empat
3.3.3.4. ketiga.tiga.tiga.empat
3.4.3.4. ketiga.empat.tiga.empat
4.1.3.4. keempat.satu.tiga.empat
4.2.3.4. keempat.dua.tiga.empat
4.3.3.4. keempat.tiga.tiga.empat
4.4.3.4. keempat.empat.tiga.empat

1.1.4.4. pertama.satu.empat.empat
1.2.4.4. pertama.dua.empat.empat
1.3.4.4. pertama.tiga.empat.empat
1.4.4.4. pertama.empat.empat.empat
2.1.4.4. kedua.satu.empat.empat
2.2.4.4. kedua.dua.empat.empat
2.3.4.4. kedua.tiga.empat.empat
2.4.4.4. kedua.empat.empat.empat
3.1.4.4. ketiga.satu.empat.empat
3.2.4.4. ketiga.dua.empat.empat
3.3.4.4. ketiga.tiga.empat.empat
3.4.4.4. ketiga.empat.empat.empat
4.1.4.4. keempat.satu.empat.empat
4.2.4.4. keempat.dua.empat.empat
4.3.4.4. keempat.tiga.empat.empat
4.4.4.4. keempat.empat.empat.empat



